prompt,task_type,placeholder,complexity
"Hi, how are you?",1,,0
"What's your favorite animal?",1,,0
"Tell me a fun fact about turtles.",1,,0
"Do you think robots dream?",1,,0
"Explain what a lunar eclipse is.",2,,0
"Why do leaves change color in autumn?",2,,0
"Describe how a combustion engine works.",2,,0
"Teach me the basics of quantum entanglement.",2,,0
"Rewrite the following sentence to sound more professional: 'I’ll get it done soon.'",3,,0
"Rewrite this paragraph so it flows better: 'The data was collected quickly and the results were surprising.'",3,,0
"Improve the clarity of this draft email asking for an extension.",3,,0
"Summarize the following concept in simpler words: Bayesian inference.",3,,0
"Write a short poem about a lonely lighthouse.",6,,0
"Invent a magical creature and describe its abilities.",6,,0
"Create a sci-fi story prompt involving ancient satellites.",6,,0
"Write the opening paragraph of a mystery novel set in a library.",6,,0
"Help me plan a weekly study schedule for finals.",5,,0
"Create a bullet-point productivity plan for organizing a messy apartment.",5,,0
"Outline steps for planning a small community event.",5,,0
"Help me structure a 30-minute presentation on renewable energy.",5,,0
"Explain how to fix a Python list index error.",4,,0
"Write a simple Python function to reverse a string.",4,,0
"Generate a bash script that backs up a directory to a ZIP file.",4,,0
"Explain why my Java program is throwing a NullPointerException.",4,,0
"Tell me a joke about penguins.",1,,0
"What's the best way to stay motivated on rainy days?",1,,0
"Ask me a deep philosophical question.",1,,0
"Give me three conversation starters for meeting new people.",1,,0
"Explain the water cycle like I'm five.",2,,0
"Explain how neural networks learn.",2,,0
"Describe the carbon cycle in detail.",2,,0
"Teach me how black holes form.",2,,0
"Rewrite this to sound more concise: 'At this point in time, I am unable to proceed.'",3,,0
"Fix grammar in this sentence: 'The results was inconsistent.'",3,,0
"Rewrite the following email to sound more confident.",3,,0
"Summarize the plot of Romeo and Juliet in two sentences.",3,,0
"Write a short fairy-tale scene involving a stubborn dragon.",6,,0
"Generate a creative writing prompt involving a forgotten memory.",6,,0
"Make up a story about a time-traveling botanist.",6,,0
"Create a dramatic opening to a space opera.",6,,0
"Help me plan tomorrow's tasks efficiently.",5,,0
"Break down how to create a personal budget.",5,,0
"Help me outline a morning routine that boosts productivity.",5,,0
"Make a checklist for preparing a long road trip.",5,,0
"Write a Python function to merge two dictionaries.",4,,0
"Explain how to debug segmentation faults.",4,,0
"Create an example SQL query that joins three tables.",4,,0
"Write pseudocode for binary search.",4,,0
"Say something encouraging.",1,,0
"Tell me a weird but harmless conspiracy theory.",1,,0
"Give me advice for unwinding after a stressful day.",1,,0
"Ask me three introspective questions.",1,,0
"Explain why volcanoes erupt.",2,,0
"Describe how vaccines work.",2,,0
"Teach me why tidal forces occur.",2,,0
"Explain the concept of reinforcement learning.",2,,0
"Polish the tone of this text: 'Hey, can you check my draft?'",3,,0
"Rewrite this for academic clarity: 'Big models need lots of energy.'",3,,0
"Condense the following into one sentence: 'The process was long and exhausting but worth it.'",3,,0
"Edit this paragraph to make it more engaging.",3,,0
"Write a fantasy prompt involving a magical map.",6,,0
"Describe a whimsical landscape filled with floating islands.",6,,0
"Create a writing prompt about rediscovering forgotten technology.",6,,0
"Write a dark, atmospheric setting for a horror short story.",6,,0
"Help me plan a month-long workout schedule.",5,,0
"Make a meal-prep plan for a busy college student.",5,,0
"Outline a personal improvement plan for learning math faster.",5,,0
"Make a prioritized task list for organizing research notes.",5,,0
"Write a Java method that checks if a number is prime.",4,,0
"Explain how hash maps work internally.",4,,0
"Generate boilerplate code for a Flask API endpoint.",4,,0
"Write a C program that prints the Fibonacci sequence.",4,,0
"Tell me a silly fun fact.",1,,0
"What's a good question to ask at a job interview?",1,,0
"Give me three fun things to do alone on a weekend.",1,,0
"Suggest something spontaneous I could try today.",1,,0
"Explain the phases of the Moon.",2,,0
"Describe in detail how glaciers carve landscapes.",2,,0
"Teach me how lasers work.",2,,0
"Explain multithreading to a beginner.",2,,0
"Rewrite this sentence to sound cheerful: 'The meeting is mandatory.'",3,,0
"Make this text more formal: 'We gotta fix this soon.'",3,,0
"Improve clarity of this academic statement.",3,,0
"Summarize Newton's laws of motion.",3,,0
"Write a creative prompt involving forbidden knowledge.",6,,0
"Invent a mythical city and describe its customs.",6,,0
"Create a surreal dream sequence involving clocks.",6,,0
"Write an elaborate opening to a high-fantasy battle scene.",6,,0
"Help me organize my digital files.",5,,0
"Plan a two-week self-study curriculum for statistics.",5,,0
"Make a decision-making checklist for big life choices.",5,,0
"Create a simple weekly cleaning schedule.",5,,0
"Write a Python snippet that sorts a list of tuples.",4,,0
"Explain memory allocation in C at a high level.",4,,0
"Create a command-line example using argparse in Python.",4,,0
"Write pseudocode for quicksort.",4,,0
"Hi!",1,,0
"What's your favorite color?",1,,0
"Tell me a fun fact about cats.",1,,0
"How's your day going?",1,,0
"Do you like pizza?",1,,0
"Explain how rainbows form.",2,,1
"Why does the Moon have phases?",2,,1
"Explain recursion in simple terms.",2,,1
"How do airplanes stay in the air?",2,,1
"Teach me what inertia means.",2,,1
"Rewrite this sentence to sound more formal: 'I forgot my homework again.'",3,,1
"Edit this paragraph for clarity: 'The dog, it ran fast and quickly to the house.'",3,,1
"Rewrite this email more politely: 'Send me the files today.'",3,,1
"Rewrite this text in a humorous tone: 'I broke my coffee mug.'",3,,1
